Expediteur;Arrete;Sequence;Somme_FOR;Evolution_FOR;Somme_DEF;Evolution_DEF;Somme_NPE;Evolution_NPE;Somme_IMP;Evolution_IMP;Date_chargement_INEO;Frequence;Statut
EXP_AXB;2026-01-01;1;124;;207;;207;;247;;2026-02-09 20:11:50;Mensuelle;RECU
EXP_AXB;2026-02-01;1;124;0,0%;217;4,8%;217;4,8%;277;12,1%;2026-03-06 21:21:24;Mensuelle;RECU
EXP_BNP;2025-12-01;1;1514;;3818;;5748;;4495;;2026-01-14 20:13:44;Mensuelle;RECU
EXP_BNP;2026-01-01;1;1563;3,2%;3880;1,6%;5795;0,8%;4511;0,4%;2026-02-13 20:12:13;Mensuelle;RECU
EXP_BOURS;2026-01-01;1;76;;190;;0;;236;;2026-02-17 21:38:25;Mensuelle;RECU
EXP_BOURS;2026-02-01;1;78;2,6%;191;0,5%;0;;226;-4,2%;2026-03-25 20:14:59;Mensuelle;RECU
EXP_CA;2025-09-01;1;80;;630;;0;;945;;2025-11-18 20:22:42;Trimestrielle;RECU
EXP_CA;2025-12-01;1;90;12,5%;657;4,3%;0;;932;-1,4%;2026-03-05 20:17:04;Trimestrielle;RECU
EXP_CDN;2023-03-01;1;158;;266;;0;;324;;2024-10-04 10:42:20;Trimestrielle;RETARD
EXP_CDN;2023-05-01;2;0;-100,0%;0;-100,0%;0;;0;-100,0%;2025-02-06 20:59:39;Trimestrielle;RETARD
EXP_CFF;2025-11-01;1;800;;687;;449;;547;;2026-02-23 20:15:30;Mensuelle;RECU
EXP_CFF;2025-12-01;1;792;-1,0%;687;0,0%;451;0,4%;572;4,6%;2026-02-23 20:15:30;Mensuelle;RECU
EXP_CICMUT;2026-01-01;1;1385;;2109;;0;;2731;;2026-03-04 20:11:25;Mensuelle;RECU
EXP_CICMUT;2026-02-01;1;1411;1,9%;2134;1,2%;0;;3048;11,6%;2026-03-05 20:17:04;Mensuelle;RECU
EXP_HSBC;2025-09-01;1;93;;0;;94;;197;;2025-10-01 20:15:41;Mensuelle;RETARD
EXP_HSBC;2025-12-01;1;46;-50,5%;0;;81;-13,8%;201;2,0%;2026-01-13 20:14:33;Mensuelle;RETARD
EXP_ING;2025-09-01;1;2;;32;;32;;61;;2025-11-28 20:17:13;Trimestrielle;RECU
EXP_ING;2025-12-01;1;6;200,0%;31;-3,1%;31;-3,1%;57;-6,6%;2026-01-29 20:15:23;Trimestrielle;RECU
EXP_LBP;2026-01-01;1;566;;2618;;0;;1223;;2026-03-04 20:11:25;Mensuelle;RECU
EXP_LBP;2026-02-01;1;557;-1,6%;2591;-1,0%;0;;1137;-7,0%;2026-03-25 20:14:59;Mensuelle;RECU
EXP_LCL;2026-01-01;1;2784;;6675;;0;;6409;;2026-02-13 20:12:13;Mensuelle;RECU
EXP_LCL;2026-02-01;1;2826;1,5%;6742;1,0%;0;;6501;1,4%;2026-03-16 20:14:23;Mensuelle;RECU
EXP_SG_CDN;2026-01-01;1;2810;;6339;;0;;4278;;2026-02-13 20:12:13;Mensuelle;RECU
EXP_SG_CDN;2026-02-01;1;2818;0,3%;6334;-0,1%;0;;4282;0,1%;2026-03-16 20:14:23;Mensuelle;RECU
